"external_gene_name","entrezgene_id","transcript_biotype"
"Zmym5",219105,"protein_coding"
"Btbd35f8",100862389,"protein_coding"
"Gabra3",14396,"protein_coding"
"Nme8",73412,"protein_coding"
"Agrp",11604,"protein_coding"
"Rin1",225870,"protein_coding"
"Mzt1",76789,"protein_coding"
"Ripor1",75687,"protein_coding"
"Gm10486",100039550,"protein_coding"
"Hmgxb3",106894,"protein_coding"
"Wdhd1",218973,"protein_coding"
"4932438H23Rik",74387,"protein_coding"
"Cd248",70445,"protein_coding"
"Zbtb20",56490,"protein_coding"
"Tmem151a",381199,"protein_coding"
"Kank1",107351,"protein_coding"
"Smug1",71726,"protein_coding"
"Pak1ip1",68083,"protein_coding"
"Gabrq",57249,"protein_coding"
"Ctcf",13018,"protein_coding"
"Ccdc134",76457,"protein_coding"
"Dmrt1",50796,"protein_coding"
"Slc26a2",13521,"protein_coding"
"Eapp",66266,"protein_coding"
"Dmrt3",240590,"protein_coding"
"Gm14819",100039585,"protein_coding"
"Fhod3",225288,"protein_coding"
"Nr3c2",110784,"protein_coding"
"Dmrt2",226049,"protein_coding"
"Gpr141b",319293,"protein_coding"
"Gm10139",NA,"protein_coding"
"Tmem14c",66154,"protein_coding"
"Yif1a",68090,"protein_coding"
"Mroh2b",223825,"protein_coding"
"Cetn2",26370,"protein_coding"
"Gpr141",353346,"protein_coding"
"Ppp2r5c",26931,"protein_coding"
"Socs4",67296,"protein_coding"
"Elmo1",140580,"protein_coding"
"Lrch2",210297,"protein_coding"
"Zmym2",76007,"protein_coding"
"Nhlrc2",66866,"protein_coding"
"Carmil2",234695,"protein_coding"
"Adrb1",11554,"protein_coding"
"Cbx5",12419,"protein_coding"
"Cnih2",12794,"protein_coding"
"Bora",77744,"protein_coding"
"Pcm1",18536,"protein_coding"
"Ccdc186",213993,"protein_coding"
"C7",109828,"protein_coding"
"Tigit",100043314,"protein_coding"
"Prkdc",19090,"protein_coding"
"Card6",239319,"protein_coding"
"Aoah",27052,"protein_coding"
"Rpl37",67281,"protein_coding"
"Rpl37",100502825,"protein_coding"
"Prkaa1",105787,"protein_coding"
"Rab1b",76308,"protein_coding"
"Mapk1ip1l",218975,"protein_coding"
"Pbdc1",67683,"protein_coding"
"Dis3",72662,"protein_coding"
"Srebf2",20788,"protein_coding"
"Klc2",16594,"protein_coding"
"Mrpl47",74600,"protein_coding"
"Or2p2",258528,"protein_coding"
"Arel1",68497,"protein_coding"
"Pde6a",225600,"protein_coding"
"Mak",17152,"protein_coding"
"Nsdhl",18194,"protein_coding"
"Adgrl4",170757,"protein_coding"
"Gm9955",NA,"protein_coding"
"Tpgs2",66648,"protein_coding"
"Magee1",107528,"protein_coding"
"Lgals3",16854,"protein_coding"
"Gm15128",434863,"protein_coding"
"Ndufb5",66046,"protein_coding"
"Gm15080",666184,"protein_coding"
"Acd",497652,"protein_coding"
"Mtbp",105837,"protein_coding"
"Ppargc1b",170826,"protein_coding"
"Pacs1",107975,"protein_coding"
"Fgf16",80903,"protein_coding"
"Gm15107",434864,"protein_coding"
"Ift88",21821,"protein_coding"
"Slc30a7",66500,"protein_coding"
"Gm15114",100034729,"protein_coding"
"Drd3",13490,"protein_coding"
"Dync1h1",13424,"protein_coding"
"Gm8334",NA,"protein_coding"
"Gm15127",434866,"protein_coding"
"AW554918",225289,"protein_coding"
"Ifi44",99899,"protein_coding"
"Mzt2",72083,"protein_coding"
"Luzp4",434865,"protein_coding"
"Asah1",11886,"protein_coding"
"Cebpd",12609,"protein_coding"
"Qtrt2",106248,"protein_coding"
"Ifi44l",15061,"protein_coding"
"Sf3b2",319322,"protein_coding"
"Ptgfr",19220,"protein_coding"
"Celf4",108013,"protein_coding"
"Gfm2",320806,"protein_coding"
"Dock11",75974,"protein_coding"
"Pibf1",52023,"protein_coding"
"1700001K19Rik",66323,"protein_coding"
"Usp13",72607,"protein_coding"
"Fcf1",73736,"protein_coding"
"Spidr",224008,"protein_coding"
"Pard6a",56513,"protein_coding"
"Hsp90aa1",15519,"protein_coding"
"Shisa8",435145,"protein_coding"
"Il17d",239114,"protein_coding"
"Frg1",14300,"protein_coding"
"Gal3st3",545276,"protein_coding"
"Sntb1",20649,"protein_coding"
"Zmiz1",328365,"protein_coding"
"Catsper1",225865,"protein_coding"
"Extl2",58193,"protein_coding"
"Ttc33",67515,"protein_coding"
"Enkd1",102124,"protein_coding"
"Cst6",73720,"protein_coding"
"Pkp2",67451,"protein_coding"
"Tdrd1",83561,"protein_coding"
"4933405L10Rik",71046,"protein_coding"
"Arhgap10",78514,"protein_coding"
"Tnfrsf13c",72049,"protein_coding"
"Ccdc191",212153,"protein_coding"
"Gipc2",54120,"protein_coding"
"Lpin1",14245,"protein_coding"
"Has2",15117,"protein_coding"
"Hnrnpa1",15382,"protein_coding"
"Ott",18422,"protein_coding"
"Eef1akmt1",68043,"protein_coding"
"Dnajb4",67035,"protein_coding"
"Yars2",70120,"protein_coding"
"Klf5",12224,"protein_coding"
"Zdhhc23",332175,"protein_coding"
"Gm15093",100039890,"protein_coding"
"Klf12",16597,"protein_coding"
"Pik3c3",225326,"protein_coding"
"Ift80",68259,"protein_coding"
"Ifnar1",15975,"protein_coding"
"Gm15085",100039934,"protein_coding"
"Prr30",76627,"protein_coding"
"Gm10439",382243,"protein_coding"
"Ptger4",19219,"protein_coding"
"Triml1",244448,"protein_coding"
"Xpo4",57258,"protein_coding"
"Gfod2",70575,"protein_coding"
"Xlr5a",574438,"protein_coding"
"Triml2",622117,"protein_coding"
"Ifngr2",15980,"protein_coding"
"Slc22a22",210463,"protein_coding"
"Hexb",15212,"protein_coding"
"Prmt9",102182,"protein_coding"
"Tmem50b",77975,"protein_coding"
"Gm15097",434869,"protein_coding"
"Nfe2",18022,"protein_coding"
"Lats2",50523,"protein_coding"
"Gramd1c",207798,"protein_coding"
"Enc1",13803,"protein_coding"
"Gm15091",382244,"protein_coding"
"Vcam1",22329,"protein_coding"
"Zfp42",22702,"protein_coding"
"Banf1",23825,"protein_coding"
"Cenpm",66570,"protein_coding"
"Rps18-ps6",NA,"protein_coding"
"Atrx",22589,"protein_coding"
"Adam26b",382007,"protein_coding"
"Ranbp10",74334,"protein_coding"
"Tmem170b",621976,"protein_coding"
"Eif1ad",69860,"protein_coding"
"Rit2",19762,"protein_coding"
"Sap18",20220,"protein_coding"
"Zfp457",431706,"protein_coding"
"Vwa2",240675,"protein_coding"
"Zfp595",218314,"protein_coding"
"Tacr2",21337,"protein_coding"
"Syt4",20983,"protein_coding"
"Slc25a46",67453,"protein_coding"
"1500009L16Rik",69784,"protein_coding"
"Gpr88",64378,"protein_coding"
"Adtrp",109254,"protein_coding"
"Ska3",219114,"protein_coding"
"Smc4",70099,"protein_coding"
"B930094E09Rik",NA,"protein_coding"
"Il17b",56069,"protein_coding"
"Zhx2",387609,"protein_coding"
"Arhgap18",73910,"protein_coding"
"Adam26a",13525,"protein_coding"
"Pcyox1l",240334,"protein_coding"
"Adam34l",384813,"protein_coding"
"Adam34",252866,"protein_coding"
"Adam34",384814,"protein_coding"
"Smim45",76505,"protein_coding"
"Dnajc28",246738,"protein_coding"
"Dlgap5",218977,"protein_coding"
"Tmem184c",234463,"protein_coding"
"Derl1",67819,"protein_coding"
"Grpel2",17714,"protein_coding"
"Sart1",20227,"protein_coding"
"Atp6v1a",11964,"protein_coding"
"Afap1l1",106877,"protein_coding"
"Il12rb2",16162,"protein_coding"
"Nuak1",77976,"protein_coding"
"Copz1",56447,"protein_coding"
"Hivep1",110521,"protein_coding"
"Tsnaxip1",72236,"protein_coding"
"Ckap4",216197,"protein_coding"
"Tcp11l2",216198,"protein_coding"
"Tsga10ip",78306,"protein_coding"
"Edn1",13614,"protein_coding"
"Gpr84",80910,"protein_coding"
"Zfp385a",29813,"protein_coding"
"Trim59",66949,"protein_coding"
"H2bc23",665596,"protein_coding"
"Sap130",269003,"protein_coding"
"Drap1",66556,"protein_coding"
"Ednra",13617,"protein_coding"
"Mug2",17837,"protein_coding"
"H2ac23",665433,"protein_coding"
"H4c17",100041230,"protein_coding"
"Cdc14a",229776,"protein_coding"
"Yeats4",64050,"protein_coding"
"H4c18",319161,"protein_coding"
"H2ac24",319171,"protein_coding"
"H2bc24",665622,"protein_coding"
"Wdr20",69641,"protein_coding"
"Cenpt",320394,"protein_coding"
"Polr3b",70428,"protein_coding"
"Tbc1d31",210544,"protein_coding"
"Arhgef28",110596,"protein_coding"
"Jam3",83964,"protein_coding"
"Ntsr2",18217,"protein_coding"
"Try4",22074,"protein_coding"
"Thap11",59016,"protein_coding"
"Rexo2",104444,"protein_coding"
"AI837181",107242,"protein_coding"
"Ttc29",73301,"protein_coding"
"Ylpm1",56531,"protein_coding"
"Slco1c1",58807,"protein_coding"
"Tmem29",382245,"protein_coding"
