"","ESC_Rep1","ESC_Rep2","Epi_Rep1","Epi_Rep2","Meso_Rep2","OSC-D7_Rep1","OSC-D7_Rep2","OSC-D8_Rep1","OSC-D8_Rep2","OSC-D9_Rep1","OSC-D9_Rep2","OSC-D10_Rep1","OSC-D10_Rep2"
"C1qtnf2",5,10,2,2,23,23,36,9,15,30,41,44,28
"Tafa4",8,8,235,351,8,7,0,2,2,0,1,6,2
"Cox17",1115,1167,882,1341,587,256,270,296,166,322,258,250,171
"Ferd3l",0,0,0,0,0,0,2,2,0,0,1,0,0
"Golph3l",418,659,545,640,416,1372,1099,1537,992,1861,1304,1370,813
"Kctd4",0,2,0,0,1,0,0,0,0,0,0,1,2
"Ar",21,45,218,377,35,8,2,44,17,112,364,289,261
"Zfp526",214,338,194,157,238,610,481,519,354,603,615,610,471
"Fam43a",389,709,608,884,620,98,169,112,181,167,384,258,212
"Spin2c",57,55,244,320,107,231,484,353,375,497,541,359,267
